"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 23 17:09:33 GMT 2021","Tue Nov 23 17:10:07 GMT 2021","33788","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Restore with >","","","custom seed phrase",""
"passed","Tue Nov 23 17:21:22 GMT 2021","Tue Nov 23 17:21:51 GMT 2021","28387","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"passed","Tue Nov 23 17:26:26 GMT 2021","Tue Nov 23 17:26:51 GMT 2021","24900","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Add custom tokens: ","","","DAI on Heco",""
"passed","Tue Nov 23 17:16:09 GMT 2021","Tue Nov 23 17:17:19 GMT 2021","69589","Chrome Stable","src/tests/stable/swap.test.ts","Swap:  > From Velas network: ","","","EVM > HRC-20",""
"passed","Tue Nov 23 17:20:30 GMT 2021","Tue Nov 23 17:20:53 GMT 2021","23655","Chrome Stable","src/tests/stable/transactions.test.ts","Transactions >","","","Send ETH",""
"passed","Tue Nov 23 17:13:52 GMT 2021","Tue Nov 23 17:14:25 GMT 2021","33080","Chrome Stable","src/tests/stable/staking.test.ts","Staking > > Actions >","","","Previous run cleanup",""
"passed","Tue Nov 23 17:13:14 GMT 2021","Tue Nov 23 17:13:52 GMT 2021","38507","Chrome Stable","src/tests/stable/settings.test.ts","Settings","","","Enable/Disable testnet",""
"skipped","Tue Nov 23 17:16:09 GMT 2021","Tue Nov 23 17:16:09 GMT 2021","0","Chrome Stable","src/tests/stable/swap.test.ts","Swap:  > In Velas network: ","","","EVM > VLX Legacy",""
"passed","Tue Nov 23 17:27:35 GMT 2021","Tue Nov 23 17:28:18 GMT 2021","43411","Chrome Stable","src/tests/stable/swap.test.ts","Swap:  > To Velas network","","","USDC > USDC Velas",""
"passed","Tue Nov 23 17:13:57 GMT 2021","Tue Nov 23 17:15:12 GMT 2021","74327","Chrome Stable","src/tests/stable/swap.test.ts","Swap:  > In Velas network: ","","","VLX Native > EVM",""
"skipped","Tue Nov 23 17:26:53 GMT 2021","Tue Nov 23 17:26:53 GMT 2021","0","Chrome Stable","src/tests/stable/swap.test.ts","Swap:  > To Velas network","","","ETH > ETH Velas",""
"passed","Tue Nov 23 17:23:41 GMT 2021","Tue Nov 23 17:23:58 GMT 2021","16870","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
